City,Sentiment,Count,Month,Language
Muri,NEUTRAL,2,april,de
Bulle,POSITIVE,1,april,de
Helvetia,NEUTRAL,11,april,de
Bern,POSITIVE,342,april,de
Zurich,POSITIVE,1043,april,de
Zürich,NEGATIVE,30,april,de
Herisau,POSITIVE,17,april,de
Genève,NEUTRAL,86,april,de
Laufen,NEUTRAL,11,april,de
Neuchâtel,NEUTRAL,120,april,de
St. Gallen,NEUTRAL,1912,april,de
Wittnau,NEUTRAL,3,april,de
Schenkon,POSITIVE,1,april,de
Geneve,NEUTRAL,11,april,de
Basel,NEGATIVE,16,april,de
Biel/Bienne,NEUTRAL,177,april,de
Fribourg,NEUTRAL,805,april,de
Poschiavo,NEUTRAL,1,april,de
CH,NEUTRAL,2326,april,de
Schaffhausen,NEUTRAL,2140,april,de
Suisse,NEUTRAL,376,april,de
Sissach,NEUTRAL,3,april,de
Einsiedeln,NEUTRAL,67,april,de
Romanshorn,POSITIVE,1,april,de
Rheinfelden,NEUTRAL,106,april,de
Bern,NEGATIVE,18,april,de
İsviçre,NEUTRAL,1,april,de
Zurich,NEGATIVE,9,april,de
Aarau,NEUTRAL,683,april,de
Zermatt,NEUTRAL,42,april,de
Herisau,NEGATIVE,1,april,de
Lauterbrunnen,NEUTRAL,1,april,de
Luzern,NEUTRAL,2533,august,de
"Safenwil, Schweiz",NEUTRAL,13,august,de
"Sattel, Schweiz",POSITIVE,143,august,de
"Thalwil / Zurich, Switzerland",NEUTRAL,33,august,de
"Fribourg/Freiburg, Switzerland",NEUTRAL,18,august,de
Joinville SC,NEUTRAL,6,august,de
"Ehrendingen, Switzerland",NEUTRAL,9,august,de
Aarau.,NEUTRAL,21,august,de
"Zürich,Seebach",NEUTRAL,11,august,de
"Grisons, Switzerland",NEUTRAL,1,august,de
"Switzerland,Zurich",NEUTRAL,4,august,de
Mering,NEUTRAL,1,august,de
"Sargans, Switzerland",POSITIVE,1,august,de
"İzmit, Kocaeli",NEUTRAL,2,august,de
"Laufen BL, Schweiz",NEUTRAL,2,august,de
"Volkshaus, Aarau",NEUTRAL,1,august,de
"Zürich, Basel, Winterthur, Zug",POSITIVE,1,august,de
bangkok thailand,NEUTRAL,1,august,de
"St-Maurice, Suisse",NEUTRAL,1,august,de
Chur (Switzerland),NEUTRAL,1,august,de
"Rolle, Suisse",NEUTRAL,5,august,de
Freiburg,NEUTRAL,2,august,de
"Chiasso, Ticino",NEUTRAL,1,august,de
Switzerland,POSITIVE,2568,august,de
Walenstadt,NEUTRAL,38,august,de
"Eschenz, Schweiz",NEUTRAL,15,august,de
Luzern / Emmenbrücke,NEUTRAL,4,august,de
Obergösgen,NEUTRAL,8,august,de
"Unterägeri, Schweiz",NEUTRAL,15,august,de
"Dulliken, Schweiz",NEUTRAL,3,august,de
MADRID,NEUTRAL,1,august,de
"Zürich, Lagos, on the road ...",NEUTRAL,2,august,de
Kanton Bern CH,POSITIVE,6,august,de
Glattbrugg,POSITIVE,1,august,de
"Bolligen, Schweiz",NEUTRAL,2,august,de
"Baar, CH",POSITIVE,5,august,de
"Kriens, Luzern, Schweiz",NEUTRAL,17,august,de
"Switzerland, Zurich Aera",NEUTRAL,12,august,de
Uster,POSITIVE,2,august,de
schweiz/zh - schalkermarkt,NEUTRAL,6,august,de
"Zuerich, CH",NEUTRAL,1,august,de
"Kriens, Schweiz",POSITIVE,4,august,de
"Pratteln, Schweiz",POSITIVE,4,august,de
Augustinergasse 9,NEUTRAL,4,august,de
"3400 11th Street, NW",NEUTRAL,1,august,de
"Speicher AR, Schweiz",NEGATIVE,1,august,de
Grabs,NEUTRAL,2,august,de
Dietikon,NEGATIVE,1,august,de
Washington DC,NEUTRAL,1,august,de
"Malibu, Montréal, Varese",NEUTRAL,1,august,de
"Freiburg im Breisgau, Baden-Württemberg",NEUTRAL,7,august,de
"Chur, Lachen, St.Moritz",NEUTRAL,1,august,de
Nyon,NEUTRAL,3,august,de
Winterthur,POSITIVE,68,august,de
Definitly not next to you,NEUTRAL,92,august,de
"Greifensee, Switzerland",NEUTRAL,9,august,de
Arisdorf,NEUTRAL,3,august,de
"Ostholstein, SH, Germany",NEGATIVE,1,august,de
"the hive, switzerland",POSITIVE,2,august,de
"Ber(li)n, Switzerland",NEUTRAL,31,august,de
"Engelberg, Switzerland",NEUTRAL,27,august,de
جنيف,NEUTRAL,1,august,de
"Arau, Perlis",NEUTRAL,6,august,de
Jona SG,NEUTRAL,6,august,de
"Kerzers, Freiburg",POSITIVE,1,august,de
rüthi,NEUTRAL,8,august,de
Pennsylvania,NEUTRAL,1,august,de
"Locarno, Svizzera",NEUTRAL,2,august,de
"Nidau, Schweiz",POSITIVE,4,august,de
"Valposchiavo (GR), Switzerland",NEUTRAL,2,august,de
Grindelwald | Switzerland,NEUTRAL,6,august,de
Zürich & Basel,POSITIVE,2,august,de
switzerland; planet jeds,NEUTRAL,1,august,de
"Bern 72, Switzerland",POSITIVE,74,august,de
genelde Türkiye,NEUTRAL,1,august,de
"Gruet (Gossau ZH), Switzerland",NEUTRAL,36,august,de
Basel (Switzerland),NEUTRAL,5,august,de
"Zug, Switzerland",POSITIVE,8,august,de
9473 Gams,NEUTRAL,2,august,de
"winterthur, ch",NEUTRAL,11,august,de
"Luthern, Schweiz",NEUTRAL,4,august,de
Sursee,POSITIVE,2,august,de
"Effingen, Switzerland",NEUTRAL,4,august,de
"Monte, Baires.",NEUTRAL,1,august,de
Oberdorf,NEUTRAL,1,august,de
St. Louis,NEUTRAL,2,august,de
Algarve-Portugal,NEUTRAL,1,august,de
"Ettingen, Schweiz",POSITIVE,1,august,de
"Pfäffikon, SZ",POSITIVE,1,august,de
"Rorschach, Sankt Gallen",NEUTRAL,1,august,de
Toronto,NEUTRAL,1,august,de
Aarau/Marseille/East Germany,NEUTRAL,3,august,de
Baden,NEUTRAL,1343,august,de
"Basel/Zürich, Switzerland",NEUTRAL,1,august,de
Horw,NEUTRAL,10,august,de
Meilen,NEUTRAL,5,august,de
"Zürich, Basel",POSITIVE,4,august,de
"Freienbach, Schweiz",NEUTRAL,25,august,de
Gib Deinen Standort ein,NEUTRAL,15,august,de
Saanen,NEUTRAL,75,august,de
"Reinach bei Basel, Schweiz",NEUTRAL,1,august,de
Brighton/London,NEUTRAL,1,august,de
Zürich | Basel,NEUTRAL,1,august,de
"SWITZERLAND, zurich",NEUTRAL,18,august,de
"Winterthur, Planet Earth",NEUTRAL,3,august,de
"Rapperswil-Jona / Basel, CHE",POSITIVE,2,august,de
"Letzigrund, Zürich, CH",NEUTRAL,16,august,de
"Brugg, Aargau",POSITIVE,1,august,de
Reinach BL,NEUTRAL,1,august,de
"Fuchshausen,Schweiz",POSITIVE,1,august,de
Seegräben,NEUTRAL,1,august,de
Alikon,NEUTRAL,2,august,de
"Cham, Switzerland",NEUTRAL,1,august,de
Kaiba Corp.,NEUTRAL,1,august,de
Loerrach,NEUTRAL,6,august,de
"Lucerne, Switzerland",NEUTRAL,2789,august,de
Brittnau,NEUTRAL,15,august,de
.ch,NEUTRAL,37,august,de
Münchenstein,NEUTRAL,30,august,de
SH,POSITIVE,20,august,de
"Baden, Aargau",NEUTRAL,47,august,de
"Egg bei Zürich, Schweiz",NEUTRAL,4,august,de
Uerikon,NEUTRAL,8,august,de
Safenwil,NEUTRAL,25,august,de
"Oftringen, Switzerland",NEUTRAL,11,august,de
"Beringen, Switzerland",NEUTRAL,23,august,de
"Menzingen, Zug",NEUTRAL,11,august,de
"Münchwilen (TG), Schweiz",NEUTRAL,25,august,de
"Stahlrain 13, 5200 Brugg, CH",NEUTRAL,6,august,de
Köniz,NEUTRAL,16,august,de
"Kreuzlingen, Switzerland",POSITIVE,2,august,de
KT,NEUTRAL,1,august,de
"ÜT: 47.030865,8.431971",POSITIVE,1,august,de
"Gstaad, Switzerland",NEUTRAL,2,august,de
sms@rebell.tv,NEGATIVE,2,august,de
Zürich - Schweiz,NEUTRAL,1,august,de
"Zürich, Schweiz, .ch",NEUTRAL,2,august,de
"Luzern, Zürich",NEUTRAL,2,august,de
Beirut • Paris • Switzerland,NEUTRAL,1,august,de
"Switzerland, St.Gallen",NEUTRAL,4,august,de
"TI, HP and mobile community",NEUTRAL,1,august,de
"Bern, Fribourg, Lausanne",NEUTRAL,53,august,de
suisse,NEUTRAL,21,august,de
"Schweiz, Aargau",POSITIVE,158,august,de
"BE, Switzerland",POSITIVE,3,august,de
"Erlinsbach SO, Switzerland",NEUTRAL,27,august,de
"Greifensee, Schweiz",NEUTRAL,39,august,de
"Malans, Zürich, Alvaneu Dorf",NEUTRAL,13,august,de
Weiningen ZH,NEUTRAL,5,august,de
"Bern, 20 Meter ü. Aare",POSITIVE,25,august,de
"Málaga, España",NEUTRAL,1,august,de
"Wetzikon ZH, Switzerland",NEUTRAL,15,august,de
Zurich City,POSITIVE,5,august,de
"Wohlen AG, Switzerland",NEUTRAL,2,august,de
"Switzerland, Aargau",NEUTRAL,8,august,de
sleep: basel | work: zürich |,NEUTRAL,3,august,de
"Schweiz, Handleberkumpeline",NEGATIVE,3,august,de
"Bern, Weinfelden",NEUTRAL,11,august,de
Albisrieden,NEUTRAL,1,august,de
"Sachseln, Switzerland",NEUTRAL,1,august,de
"Burgdorf, Bern",POSITIVE,1,august,de
"Lugano, Svizzera",NEUTRAL,1,august,de
Turkey,NEUTRAL,4,august,de
"Werd, Geroldswil",NEUTRAL,78,august,de
"New York, USA",NEUTRAL,1,august,de
sarah jihane | ig : jenwestp,NEUTRAL,1,august,de
Würzburg,NEUTRAL,1,august,de
Waldenburg,NEUTRAL,36,august,de
"Zofingen, Switzerland",NEUTRAL,144,august,de
"Stans/Luzern, CH",NEUTRAL,10,august,de
"Chur, Graubünden",NEUTRAL,76,august,de
"Berikon, Schweiz",NEUTRAL,18,august,de
"St.Gallen, CH",POSITIVE,10,august,de
"Winterthur, Zürich, Wädenswil",NEUTRAL,15,august,de
"Lommis, Thurgau",POSITIVE,2,august,de
"Genève, Switzerland",NEUTRAL,2,august,de
Küsnacht,NEUTRAL,2,august,de
"Rüti ZH, Switzerland",POSITIVE,1,august,de
Schleitheim,NEUTRAL,2,august,de
"Ormalingen, Switzerland",POSITIVE,2,august,de
Region Zürich,NEUTRAL,1,august,de
"Vaduz, Liechtenstein",POSITIVE,1,august,de
"Grüningerstadion, St. Gallen",POSITIVE,1,august,de
"Zöri, Schweiz",POSITIVE,1,august,de
You don't know :3,NEUTRAL,2,august,de
"Lier, Belgium",NEUTRAL,1,august,de
"Thürnen, Basel-Land",NEUTRAL,1,august,de
Frauenfeld,NEUTRAL,262,august,de
L O N D O N,NEUTRAL,1,august,de
Brienz,NEUTRAL,453,august,de
Willisau,NEUTRAL,24,august,de
"Lausanne, CH",NEUTRAL,2,august,de
"La Chaux-de-Fonds, CH",NEUTRAL,1,august,de
"Bennwil, Switzerland",NEUTRAL,1,august,de
"Thun, Schweiz",POSITIVE,6,august,de
Schwiiiz,NEUTRAL,4,august,de
Gland,NEUTRAL,8,august,de
"Zermatt, Täsch",NEUTRAL,2,august,de
Zweisimmen,NEUTRAL,2,august,de
Uludağ Üniversitesi,NEUTRAL,2,august,de
Unterägeri,POSITIVE,2,august,de
"Therwil, Basel-Land",NEUTRAL,1,august,de
"Norwich, UK",NEUTRAL,1,august,de
Basel-Landschaft,POSITIVE,1,august,de
Iquique Chile,NEUTRAL,2,august,de
"Termen, Wallis /Zwitserland",NEUTRAL,17,august,de
"Berne, Switzerland",POSITIVE,126,august,de
"Distrito Federal, México",NEUTRAL,1,august,de
スイス,NEUTRAL,6,august,de
"Cortaillod, Suisse",NEUTRAL,1,august,de
Leuzigen,NEUTRAL,3,august,de
"Zurich, Berne",POSITIVE,8,august,de
"Baden, CH",NEUTRAL,1,august,de
"Birmensdorf (ZH), Schweiz",NEUTRAL,1,august,de
"Bern, Sofia",NEUTRAL,6,august,de
gl,NEUTRAL,1,august,de
Soto en Cameros - La Rioja,NEUTRAL,1,august,de
Zürich & Zug / Schweiz,NEUTRAL,1,august,de
cantone de Berne,NEUTRAL,1,august,de
Neumarkt am Wallersee,NEUTRAL,1,august,de
"Eilat, Israel",NEUTRAL,1,august,de
"Zürich, Schweiz, Multikultopia",NEUTRAL,91,august,de
"Philadelphia, PA",NEUTRAL,3,august,de
"Luzern, Alpnach, Sarnen",POSITIVE,2,august,de
Wettingen oder unterwegs ;-),POSITIVE,6,august,de
Biel,POSITIVE,3,august,de
Berlin/Zürich,NEUTRAL,8,august,de
'Yui Land',NEUTRAL,2,august,de
"Austin, TX",NEUTRAL,2,august,de
"Region Thun, Schweiz",NEGATIVE,2,august,de
Málaga|Almería,NEUTRAL,1,august,de
"Hombrechtikon, Zürich",NEUTRAL,4,august,de
"Luzern / Horw, Switzerland",NEUTRAL,2,august,de
"Merenschwand, Aargau",NEUTRAL,2,august,de
"Boca Raton, FL/Caracas",NEUTRAL,1,august,de
jura,NEUTRAL,2,august,de
Lausanne,NEUTRAL,401,august,de
spiez,NEUTRAL,53,august,de
Dubai,NEUTRAL,18,august,de
"Schweiz, Wallisellen",NEUTRAL,21,august,de
None,NEGATIVE,20,august,de
Nottwil,NEUTRAL,5,august,de
"Hünenberg, Switzerland",NEUTRAL,50,august,de
"Affoltern am Albis, Schweiz",NEUTRAL,11,august,de
"Manchester, England",NEUTRAL,2,august,de
"Switzerland, Valais",NEUTRAL,16,august,de
"Villigen, Schweiz",NEUTRAL,20,august,de
Sant Vicenç dels Horts,NEUTRAL,2,august,de
"Bollwerk, Bern",NEUTRAL,4,august,de
Sri Lanka,NEUTRAL,1,august,de
"Unterlunkhofen, Schweiz",NEUTRAL,2,august,de
"Lugano, Genova, Finale Ligure",NEUTRAL,14,august,de
Coimbra,NEUTRAL,2,august,de
Yverdon,NEUTRAL,9,august,de
"Geneva,N.Y,Paris,Jhb,Addis,",NEUTRAL,1,august,de
SG (See/Gaster) /ZH (Winti) CH,NEGATIVE,1,august,de
"Kelsterbach, Germany",POSITIVE,1,august,de
"Thun, Bern CH",POSITIVE,2,august,de
"Frankfurt, Germany",NEUTRAL,14,august,de
Schliern,NEUTRAL,2,august,de
Lausen,NEUTRAL,54,august,de
Zürichs,NEUTRAL,15,august,de
"Safnern, Switzerland",NEUTRAL,2,august,de
"Gränichen, Schweiz",NEUTRAL,7,august,de
"Bern, Luzern - Welt",NEUTRAL,27,august,de
Zernez,NEUTRAL,30,august,de
"Oberarth/Cham, Switzerland",NEUTRAL,14,august,de
"Cunter, Svizra",NEUTRAL,6,august,de
"Berg am Irchel, Switzerland",NEUTRAL,23,august,de
Glattpark,NEUTRAL,1,august,de
"Möhlin, Aargau",NEUTRAL,4,august,de
#tech #socialmedia #startups,NEUTRAL,1,august,de
Basel-Stadt,NEUTRAL,20,august,de
Unterwegs,POSITIVE,1,august,de
"Umgebung Basel, Switzerland",POSITIVE,11,august,de
بالمجرة,NEUTRAL,1,august,de
Hamburg / Germany,NEUTRAL,2,august,de
"Eriswil, Schweiz",POSITIVE,1,august,de
"Wangen an der Aare, Bern",NEUTRAL,1,august,de
"Dietikon, Schweiz",NEGATIVE,1,august,de
Berlin und Zürich,NEUTRAL,3,august,de
"CH - 3439 Ranflueh, Ramisberg",NEUTRAL,1,august,de
"3125 Toffen, Switzerland",NEUTRAL,5,august,de
"Etterbeek, België",NEUTRAL,1,august,de
Laax,NEUTRAL,1,august,de
Newcastle and Hunter Valley,NEUTRAL,1,august,de
"Jonschwil, Switzerland",NEUTRAL,1,august,de
"Chur & Bern, Switzerland",POSITIVE,1,august,de
"Gossau (ZH), Schweiz",NEUTRAL,1,august,de
Brighton and Hove,NEUTRAL,4,august,de
Buchs,NEUTRAL,4,august,de
Allschwil,NEUTRAL,13,august,de
"Wil, Schweiz",NEUTRAL,25,august,de
"La Chaux-de-Fonds, Suisse",NEUTRAL,3,august,de
Fällanden,NEUTRAL,11,august,de
"Zürich, Kiew",NEUTRAL,3,august,de
"Spreitenbach, Schweiz",NEUTRAL,5,august,de
"Kehrsatz, Switzerland",POSITIVE,3,august,de
"Goldach, Switzerland",NEUTRAL,6,august,de
Altnau,NEUTRAL,4,august,de
Basel/Zürich,NEUTRAL,2,august,de
valencia,NEUTRAL,1,august,de
"sursee, kanton luzern, schweiz",POSITIVE,14,august,de
"Romsey, UK",NEUTRAL,3,august,de
"Switzerland, the place to be",NEGATIVE,1,august,de
JO41ul,NEUTRAL,2,august,de
"Schwyz, Schweiz",NEUTRAL,4,august,de
"Geneva, CH",NEUTRAL,1,august,de
"Val Bregaglia, Svizzera",POSITIVE,1,august,de
"iPhone: 46.939835,7.435745",NEUTRAL,5,august,de
"Rümlang, Schweiz",NEGATIVE,1,august,de
Arth,POSITIVE,1,august,de
"Wädenswil, Switzerland",NEUTRAL,1,august,de
"Napoli, Campania",NEUTRAL,1,august,de
"Wetzikon (ZH), Schweiz",POSITIVE,1,august,de
"8610 Uster, Schweiz",NEUTRAL,1,august,de
Photographer,NEUTRAL,2,august,de
Death Star,NEUTRAL,1,august,de
"zurich, switzerland",NEUTRAL,96,august,de
"Biel BE, Schweiz",NEUTRAL,108,august,de
"bern, Switzerland",NEUTRAL,27,august,de
Amriswil,POSITIVE,1,august,de
Zurigo,POSITIVE,4,august,de
Switzerland - 35000 ft - Hong Kong,POSITIVE,17,august,de
"Kornhausplatz, Bern, CH",NEUTRAL,17,august,de
Saudi Arabia,NEUTRAL,1,august,de
"Kloten, Schweiz",POSITIVE,8,august,de
"Renens, Switzerland",NEUTRAL,1,august,de
wonderland,NEUTRAL,1,august,de
"Disentis, Switzerland",NEUTRAL,2,august,de
Bern Switzerland,POSITIVE,2,august,de
Hamburg/Germany,NEUTRAL,2,august,de
"9524 Zuzwil, Schweiz",NEUTRAL,2,august,de
Sarmenstorf,NEUTRAL,1,august,de
"Sion, VS",NEUTRAL,1,august,de
Seattle,NEUTRAL,1,august,de
"Stalden, Switzerland",NEUTRAL,1,august,de
Swiss,NEUTRAL,1373,august,de
isvicre,POSITIVE,1,august,de
Krefeld,NEUTRAL,1,august,de
"Basel-Country, Switzerland",NEUTRAL,156,august,de
Buchs AG,NEUTRAL,3,august,de
"Reus, Catalunya",NEUTRAL,1,august,de
"Disentis, Graubünden, Schweiz",NEUTRAL,13,august,de
"ZH, Switzerland",POSITIVE,5,august,de
TS: Mauranspielt.net,NEGATIVE,1,august,de
"Viersen, Deutschland",NEUTRAL,16,august,de
"Uttigen, Switzerland",NEUTRAL,3,august,de
"Winterthur, Zürich",NEGATIVE,1,august,de
"6370 Stans, Nidwalden",NEUTRAL,1,august,de
heaven,NEUTRAL,4,august,de
"Richmond, VA",NEUTRAL,1,august,de
"Basel, Helvetia",NEUTRAL,2,august,de
Luzern CH,NEUTRAL,4,august,de
Spiez,POSITIVE,1,august,de
Zürich & unterwegs :-),NEUTRAL,3,august,de
Basel / Switzerland,NEUTRAL,1,august,de
Wohlen AG,POSITIVE,1,august,de
"Jona, Zürich, Jakarta",NEUTRAL,2,august,de
Zurich / Bern,POSITIVE,1,august,de
"Zofingen, CH",NEUTRAL,1,august,de
"Lüneburg, Germany",NEUTRAL,1,august,de
Earth,NEUTRAL,68,august,de
World,NEUTRAL,13,august,de
luzern,NEUTRAL,59,august,de
Pratteln,NEUTRAL,7,august,de
"Thonex, Genf",NEUTRAL,21,august,de
"Aserrí, Costa Rica",NEUTRAL,2,august,de
Oberwil BL,NEUTRAL,4,august,de
"Zurich [Fribourg], Switzerland",POSITIVE,2,august,de
Bönigen; Bernese Oberland,NEUTRAL,14,august,de
"Wiestistrasse 7, Zermatt",NEUTRAL,5,august,de
"Riehen / Basel, Switzerland",NEUTRAL,6,august,de
"Schweiz, switzerland",NEUTRAL,1,august,de
"Regensdorf, Zürich",POSITIVE,1,august,de
"zürich, Switzerland",NEUTRAL,10,august,de
"47.168182,8.296895",POSITIVE,5,august,de
"Lyss, Schweiz",POSITIVE,4,august,de
LONDON,NEUTRAL,10,august,de
Graubünden / Chur,NEUTRAL,4,august,de
"53.075713,8.820751",POSITIVE,1,august,de
"Recherswil, Solothurn",POSITIVE,1,august,de
"Portogruaro, Venice",NEUTRAL,1,august,de
Lugano,POSITIVE,1,august,de
"Riyadh , Khobar",NEUTRAL,1,august,de
Thun,NEUTRAL,408,august,de
"Hettlingen, Schweiz",NEUTRAL,226,august,de
"Diegten, Schweiz",NEUTRAL,6,august,de
Allmend,NEUTRAL,12,august,de
"Thurgau, Switzerland",NEUTRAL,16,august,de
"Visp, Switzerland",NEUTRAL,70,august,de
Altstaetten,NEUTRAL,2,august,de
basel,POSITIVE,5,august,de
"Gotthard Base Tunnel, Swiss",NEUTRAL,8,august,de
İstanbul,NEUTRAL,11,august,de
Weesen,NEUTRAL,21,august,de
"Zürich, Bäckeranlage",NEUTRAL,3,august,de
Switzerland/Italy,NEUTRAL,2,august,de
Saas-Fee,POSITIVE,3,august,de
"Berne, CH",NEUTRAL,5,august,de
"Gossau (SG), Sankt Gallen",NEUTRAL,15,august,de
zg,NEUTRAL,1,august,de
Hyrule,NEUTRAL,4,august,de
Riggisberg,POSITIVE,1,august,de
"Rotkreuz, Switzerland",POSITIVE,1,august,de
Mannheim - Germany,NEUTRAL,1,august,de
"Ermatingen, Zürich",POSITIVE,1,august,de
Menzingen,NEUTRAL,2,august,de
"Beckenried, Nidwalden, Schweiz",NEUTRAL,1,august,de
"Salgesch, Wallis, Schweiz",NEUTRAL,6,august,de
